UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2024,999,336673595,166586588,170087007,125849691,126758056,22181467,23951423,2303615,2258873,10522823,11349319,464770,452824,5264222,5316512,130564326,131495533,24631397,26468346,3756853,3768497,12492983,13302756,912440,901966,133021024,137242457,96729214,98305192,20432307,22160626,1204377,1238441,10162023,10990689,332308,328044,4160795,4219465,100456132,102063669,22350665,24140955,2212668,2307513,11828724,12642347,680744,679308,33565564,32844550,29120477,28452864,1749160,1790797,1099238,1020432,360800,358630,132462,124780,1103427,1097047,30108194,29431864,2280732,2327391,1544185,1460984,664259,660409,231696,222658
R,7,2024,0,3650892,1865430,1785462,1287485,1228521,302642,294506,33991,32600,107219,101320,7353,6929,126740,121586,1404046,1340316,372806,361947,57669,55385,154014,146056,16052,15198,1354406,1292496,874507,829761,263675,256710,12325,11731,99365,93939,4072,3917,100462,96438,967437,918936,320120,311003,27233,26105,137986,130889,10364,9917,511024,492966,412978,398760,38967,37796,21666,20869,7854,7381,3281,3012,26278,25148,436609,421380,52686,50944,30436,29280,16028,15167,5688,5281
R,7,2024,1,3670117,1875086,1795031,1291894,1232471,303668,295788,34346,32980,110608,104734,7447,7012,127123,122046,1408797,1344677,373951,363365,58085,55846,157643,149758,16168,15309,1359425,1297660,875148,830237,264393,257724,12327,11723,102707,97271,4158,3976,100692,96729,968272,919663,320861,312055,27237,26101,141555,134491,10471,9998,515661,497371,416746,402234,39275,38064,22019,21257,7901,7463,3289,3036,26431,25317,440525,425014,53090,51310,30848,29745,16088,15267,5697,5311
R,7,2024,2,3715603,1898133,1817470,1305295,1245239,306669,298826,35015,33637,114764,108904,7565,7173,128825,123691,1423750,1358945,377801,367227,59067,56812,162515,154625,16398,15575,1375223,1313099,883029,837691,266826,260250,12437,11842,106728,101266,4251,4067,101952,97983,977300,928264,323897,315194,27500,26384,146181,139088,10645,10163,522910,504371,422266,407548,39843,38576,22578,21795,8036,7638,3314,3106,26873,25708,446450,430681,53904,52033,31567,30428,16334,15537,5753,5412
R,7,2024,3,3632648,1857513,1775135,1271527,1209928,304450,295883,34498,33233,114442,108793,7118,6682,125478,120616,1386897,1320803,373700,362565,57888,55806,161019,153422,15713,14871,1352036,1287554,863082,815929,266266,258891,12393,11919,106712,101281,4206,3945,99377,95589,954963,904278,321825,312451,27057,26089,145259,138241,10437,9898,505477,487581,408445,393999,38184,36992,22105,21314,7730,7512,2912,2737,26101,25027,431934,416525,51875,50114,30831,29717,15760,15181,5276,4973
R,7,2024,4,3767697,1925620,1842077,1330021,1269369,304846,296111,36401,34740,121172,114629,7219,6814,125961,120414,1445852,1380088,374475,362794,59725,57149,167949,159155,15831,14976,1416126,1352608,916017,871093,268399,261156,13733,13242,113291,107118,4464,4140,100222,95859,1008658,959680,324464,314914,28488,27426,152187,144170,10787,10141,509494,489469,414004,398276,36447,34955,22668,21498,7881,7511,2755,2674,25739,24555,437194,420408,50011,47880,31237,29723,15762,14985,5044,4835
R,7,2024,5,3827263,1954086,1873177,1353153,1292889,307173,300441,37172,35553,123109,116556,7472,6989,126007,120749,1468952,1403862,376760,367272,60625,58170,169901,161139,16095,15168,1436105,1372858,931598,885039,270508,264972,14305,13831,114958,108819,4603,4313,100133,95884,1024085,973607,326419,318710,29137,28108,153881,145855,10948,10325,517981,500319,421555,407850,36665,35469,22867,21722,8151,7737,2869,2676,25874,24865,444867,430255,50341,48562,31488,30062,16020,15284,5147,4843
R,7,2024,6,3913591,2000270,1913321,1384318,1320569,313887,306601,37793,35598,128518,120730,7552,7119,128202,122704,1502132,1433324,384353,374381,61678,58584,176343,166132,16382,15478,1475269,1407114,955291,906288,277978,271797,14329,13830,120616,113100,4777,4458,102278,97641,1049741,996442,334822,326391,29491,28393,160591,150940,11317,10618,525001,506207,429027,414281,35909,34804,23464,21768,7902,7630,2775,2661,25924,25063,452391,436882,49531,47990,32187,30191,15752,15192,5065,4860
R,7,2024,7,3989672,2041298,1948374,1418285,1349812,314549,306264,36869,35683,134708,126328,7703,7276,129184,123011,1536921,1462842,384572,373666,61194,59033,183627,172079,16777,15753,1507319,1433747,977889,925823,279202,271864,15404,14759,126780,118806,4960,4609,103084,97886,1072969,1016173,335555,326115,30976,29628,167778,156957,11729,10869,533979,514627,440396,423989,35347,34400,21465,20924,7928,7522,2743,2667,26100,25125,463952,446669,49017,47551,30218,29405,15849,15122,5048,4884
R,7,2024,8,4091668,2090901,2000767,1469060,1399586,315435,309355,36394,35057,132094,124700,7540,7284,130378,124785,1588870,1514278,385906,377312,61320,58947,181219,171214,16681,15923,1544030,1474684,1014549,962474,280677,275482,15926,15318,124150,117253,4792,4642,103936,99515,1110498,1054373,337474,330291,31901,30639,165179,156111,11574,11051,546871,526083,454511,437112,34758,33873,20468,19739,7944,7447,2748,2642,26442,25270,478372,459905,48432,47021,29419,28308,16040,15103,5107,4872
